c28992r1000,aantal_inwoners,geometry,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-0,Total
1,200,"POLYGON ((74000 451000, 74000 452000, 73000 452000, 73000 451000, 74000 451000))",0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025641025641025644,0.020512820512820513,0.0358974358974359,0.010256410256410256,0.0,0.005128205128205128,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.005128205128205128,0.010256410256410256,0.010256410256410256,0.005128205128205128,0.010256410256410256,0.15384615384615385
5,150,"POLYGON ((75000 450000, 75000 451000, 74000 451000, 74000 450000, 75000 450000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.015384615384615385
6,1020,"POLYGON ((75000 451000, 75000 452000, 74000 452000, 74000 451000, 75000 451000))",0.015384615384615385,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.010256410256410256,0.010256410256410256,0.05641025641025641,0.0717948717948718,0.020512820512820513,0.025641025641025644,0.020512820512820513,0.010256410256410256,0.015384615384615385,0.010256410256410256,0.005128205128205128,0.005128205128205128,0.025641025641025644,0.020512820512820513,0.0,0.020512820512820513,0.015384615384615385,0.36410256410256414
7,100,"POLYGON ((75000 452000, 75000 453000, 74000 453000, 74000 452000, 75000 452000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.010256410256410256,0.0,0.010256410256410256,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.0,0.0,0.005128205128205128,0.0,0.0,0.005128205128205128,0.0,0.05641025641025641
8,245,"POLYGON ((75000 453000, 75000 454000, 74000 454000, 74000 453000, 75000 453000))",0.0,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.0358974358974359,0.010256410256410256,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.0,0.005128205128205128,0.0,0.0,0.005128205128205128,0.005128205128205128,0.11794871794871795
10,1490,"POLYGON ((76000 450000, 76000 451000, 75000 451000, 75000 450000, 76000 450000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.005128205128205128,0.02564102564102564
11,1725,"POLYGON ((76000 451000, 76000 452000, 75000 452000, 75000 451000, 76000 451000))",0.020512820512820513,0.010256410256410256,0.020512820512820513,0.010256410256410256,0.010256410256410256,0.0,0.010256410256410256,0.010256410256410256,0.015384615384615385,0.0358974358974359,0.0717948717948718,0.0358974358974359,0.020512820512820513,0.041025641025641026,0.03076923076923077,0.025641025641025644,0.015384615384615385,0.020512820512820513,0.0358974358974359,0.0358974358974359,0.03076923076923077,0.03076923076923077,0.015384615384615385,0.005128205128205128,0.558974358974359
12,5775,"POLYGON ((76000 452000, 76000 453000, 75000 453000, 75000 452000, 76000 452000))",0.0717948717948718,0.046153846153846156,0.041025641025641026,0.025641025641025644,0.020512820512820513,0.0358974358974359,0.005128205128205128,0.0717948717948718,0.10256410256410257,0.15384615384615385,0.09230769230769231,0.10256410256410257,0.13333333333333333,0.09743589743589744,0.1641025641025641,0.09230769230769231,0.09743589743589744,0.09743589743589744,0.1076923076923077,0.09230769230769231,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.05641025641025641,1.8923076923076922
13,4140,"POLYGON ((76000 453000, 76000 454000, 75000 454000, 75000 453000, 76000 453000))",0.05128205128205129,0.025641025641025644,0.041025641025641026,0.020512820512820513,0.046153846153846156,0.041025641025641026,0.05128205128205129,0.041025641025641026,0.11282051282051282,0.15384615384615385,0.13333333333333333,0.11794871794871796,0.15384615384615385,0.1076923076923077,0.10256410256410257,0.1076923076923077,0.11794871794871796,0.09230769230769231,0.0717948717948718,0.05128205128205129,0.08717948717948719,0.09230769230769231,0.041025641025641026,0.05128205128205129,1.912820512820513
14,335,"POLYGON ((76000 454000, 76000 455000, 75000 455000, 75000 454000, 76000 454000))",0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.015384615384615385,0.0,0.010256410256410256,0.0,0.0,0.0,0.010256410256410256,0.005128205128205128,0.005128205128205128,0.0,0.0,0.056410256410256404
16,955,"POLYGON ((77000 449000, 77000 450000, 76000 450000, 76000 449000, 77000 449000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010256410256410256
17,880,"POLYGON ((77000 450000, 77000 451000, 76000 451000, 76000 450000, 77000 450000))",0.010256410256410256,0.0,0.020512820512820513,0.005128205128205128,0.015384615384615385,0.015384615384615385,0.020512820512820513,0.06666666666666667,0.06666666666666667,0.06153846153846154,0.07692307692307693,0.05128205128205129,0.06666666666666667,0.041025641025641026,0.06666666666666667,0.05128205128205129,0.05641025641025641,0.06666666666666667,0.041025641025641026,0.05128205128205129,0.046153846153846156,0.06153846153846154,0.025641025641025644,0.025641025641025644,1.0102564102564102
18,5310,"POLYGON ((77000 451000, 77000 452000, 76000 452000, 76000 451000, 77000 451000))",0.020512820512820513,0.03076923076923077,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.0,0.025641025641025644,0.010256410256410256,0.010256410256410256,0.05641025641025641,0.046153846153846156,0.0358974358974359,0.05641025641025641,0.0358974358974359,0.046153846153846156,0.046153846153846156,0.06666666666666667,0.0717948717948718,0.0358974358974359,0.025641025641025644,0.025641025641025644,0.03076923076923077,0.015384615384615385,0.0358974358974359,0.7487179487179487
19,10265,"POLYGON ((77000 452000, 77000 453000, 76000 453000, 76000 452000, 77000 452000))",0.08205128205128205,0.041025641025641026,0.06153846153846154,0.05128205128205129,0.020512820512820513,0.06666666666666667,0.08717948717948719,0.4307692307692308,0.2871794871794872,0.21025641025641026,0.20000000000000004,0.17948717948717952,0.21025641025641026,0.21025641025641026,0.2153846153846154,0.17435897435897438,0.1641025641025641,0.1435897435897436,0.11282051282051282,0.14871794871794872,0.11794871794871796,0.11794871794871796,0.0717948717948718,0.1076923076923077,3.512820512820513
20,8365,"POLYGON ((77000 453000, 77000 454000, 76000 454000, 76000 453000, 77000 453000))",0.05641025641025641,0.05641025641025641,0.05128205128205129,0.015384615384615385,0.041025641025641026,0.025641025641025644,0.03076923076923077,0.05641025641025641,0.20512820512820515,0.24102564102564106,0.2820512820512821,0.37948717948717947,0.24615384615384617,0.2923076923076923,0.20000000000000004,0.24615384615384617,0.23589743589743592,0.14871794871794872,0.11794871794871796,0.07692307692307693,0.0717948717948718,0.11794871794871796,0.07692307692307693,0.08717948717948719,3.358974358974359
21,3120,"POLYGON ((77000 454000, 77000 455000, 76000 455000, 76000 454000, 77000 454000))",0.010256410256410256,0.005128205128205128,0.015384615384615385,0.0,0.015384615384615385,0.015384615384615385,0.010256410256410256,0.025641025641025644,0.05128205128205129,0.05641025641025641,0.03076923076923077,0.06666666666666667,0.06666666666666667,0.10256410256410257,0.05641025641025641,0.041025641025641026,0.025641025641025644,0.03076923076923077,0.041025641025641026,0.041025641025641026,0.0358974358974359,0.041025641025641026,0.010256410256410256,0.015384615384615385,0.8102564102564103
22,295,"POLYGON ((77000 455000, 77000 456000, 76000 456000, 76000 455000, 77000 455000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010256410256410256,0.0,0.0,0.0,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020512820512820513
24,1620,"POLYGON ((78000 449000, 78000 450000, 77000 450000, 77000 449000, 78000 449000))",0.005128205128205128,0.0,0.0,0.0,0.005128205128205128,0.010256410256410256,0.0,0.005128205128205128,0.010256410256410256,0.015384615384615385,0.010256410256410256,0.005128205128205128,0.005128205128205128,0.0,0.010256410256410256,0.005128205128205128,0.0,0.005128205128205128,0.010256410256410256,0.010256410256410256,0.015384615384615385,0.020512820512820513,0.015384615384615385,0.0,0.1641025641025641
