c28992r1000,aantal_inwoners,geometry,0-4,4-8,8-12,12-16,16-20,20-0,Total
1,200,"POLYGON ((74000 451000, 74000 452000, 73000 452000, 73000 451000, 74000 451000))",0.005128205128205128,0.0,0.09230769230769231,0.010256410256410256,0.010256410256410256,0.0358974358974359,0.15384615384615385
5,150,"POLYGON ((75000 450000, 75000 451000, 74000 451000, 74000 450000, 75000 450000))",0.0,0.0,0.010256410256410256,0.0,0.0,0.005128205128205128,0.015384615384615385
6,1020,"POLYGON ((75000 451000, 75000 452000, 74000 452000, 74000 451000, 75000 451000))",0.020512820512820513,0.010256410256410256,0.158974358974359,0.0717948717948718,0.046153846153846156,0.05641025641025641,0.36410256410256414
7,100,"POLYGON ((75000 452000, 75000 453000, 74000 453000, 74000 452000, 75000 452000))",0.0,0.0,0.015384615384615385,0.020512820512820513,0.015384615384615385,0.005128205128205128,0.05641025641025641
8,245,"POLYGON ((75000 453000, 75000 454000, 74000 454000, 74000 453000, 75000 453000))",0.0,0.005128205128205128,0.020512820512820513,0.06153846153846154,0.020512820512820513,0.010256410256410256,0.11794871794871795
10,1490,"POLYGON ((76000 450000, 76000 451000, 75000 451000, 75000 450000, 76000 450000))",0.0,0.005128205128205128,0.010256410256410256,0.0,0.0,0.010256410256410256,0.02564102564102564
11,1725,"POLYGON ((76000 451000, 76000 452000, 75000 452000, 75000 451000, 76000 451000))",0.06153846153846154,0.03076923076923077,0.158974358974359,0.11794871794871796,0.1076923076923077,0.08205128205128205,0.558974358974359
12,5775,"POLYGON ((76000 452000, 76000 453000, 75000 453000, 75000 452000, 76000 452000))",0.18461538461538463,0.13333333333333333,0.4512820512820513,0.4871794871794872,0.39487179487179486,0.24102564102564106,1.8923076923076922
13,4140,"POLYGON ((76000 453000, 76000 454000, 75000 454000, 75000 453000, 76000 453000))",0.13846153846153847,0.17948717948717952,0.517948717948718,0.47179487179487184,0.3333333333333333,0.2717948717948718,1.912820512820513
14,335,"POLYGON ((76000 454000, 76000 455000, 75000 455000, 75000 454000, 76000 454000))",0.005128205128205128,0.0,0.005128205128205128,0.025641025641025644,0.010256410256410256,0.010256410256410256,0.05641025641025641
16,955,"POLYGON ((77000 449000, 77000 450000, 76000 450000, 76000 449000, 77000 449000))",0.0,0.0,0.010256410256410256,0.0,0.0,0.0,0.010256410256410256
17,880,"POLYGON ((77000 450000, 77000 451000, 76000 451000, 76000 450000, 77000 450000))",0.0358974358974359,0.11794871794871796,0.25641025641025644,0.22564102564102564,0.2153846153846154,0.158974358974359,1.0102564102564104
18,5310,"POLYGON ((77000 451000, 77000 452000, 76000 452000, 76000 451000, 77000 451000))",0.06153846153846154,0.046153846153846156,0.14871794871794872,0.18461538461538463,0.20000000000000004,0.1076923076923077,0.7487179487179487
19,10265,"POLYGON ((77000 452000, 77000 453000, 76000 453000, 76000 452000, 77000 452000))",0.23589743589743592,0.6051282051282052,0.8769230769230769,0.8102564102564104,0.5692307692307693,0.4153846153846154,3.512820512820513
20,8365,"POLYGON ((77000 453000, 77000 454000, 76000 454000, 76000 453000, 77000 453000))",0.17948717948717952,0.15384615384615385,1.1076923076923075,0.9846153846153847,0.5794871794871795,0.35384615384615387,3.358974358974359
21,3120,"POLYGON ((77000 454000, 77000 455000, 76000 455000, 76000 454000, 77000 454000))",0.03076923076923077,0.06666666666666667,0.20512820512820515,0.26666666666666666,0.13846153846153847,0.10256410256410257,0.8102564102564102
22,295,"POLYGON ((77000 455000, 77000 456000, 76000 456000, 76000 455000, 77000 455000))",0.0,0.0,0.010256410256410256,0.010256410256410256,0.0,0.0,0.020512820512820513
24,1620,"POLYGON ((78000 449000, 78000 450000, 77000 450000, 77000 449000, 78000 449000))",0.005128205128205128,0.020512820512820513,0.041025641025641026,0.020512820512820513,0.025641025641025644,0.05128205128205129,0.1641025641025641
25,9590,"POLYGON ((78000 450000, 78000 451000, 77000 451000, 77000 450000, 78000 450000))",0.12820512820512822,0.17948717948717952,0.6666666666666666,0.49230769230769234,0.35384615384615387,0.23076923076923075,2.0512820512820515
26,8465,"POLYGON ((78000 451000, 78000 452000, 77000 452000, 77000 451000, 78000 451000))",0.13846153846153847,0.2512820512820513,0.8358974358974359,1.0769230769230769,0.717948717948718,0.47179487179487184,3.4923076923076923
27,6095,"POLYGON ((78000 452000, 78000 453000, 77000 453000, 77000 452000, 78000 452000))",0.13846153846153847,0.14871794871794872,0.5128205128205129,0.6974358974358975,0.4358974358974359,0.317948717948718,2.2512820512820513
28,10105,"POLYGON ((78000 453000, 78000 454000, 77000 454000, 77000 453000, 78000 453000))",0.19487179487179487,0.24102564102564106,0.6307692307692307,0.8717948717948718,0.49230769230769234,0.37435897435897436,2.8051282051282054
29,9620,"POLYGON ((78000 454000, 78000 455000, 77000 455000, 77000 454000, 78000 454000))",0.06153846153846154,0.08205128205128205,0.4102564102564103,0.47692307692307695,0.317948717948718,0.1435897435897436,1.4923076923076923
30,3590,"POLYGON ((78000 455000, 78000 456000, 77000 456000, 77000 455000, 78000 455000))",0.06153846153846154,0.05641025641025641,0.17948717948717952,0.2820512820512821,0.25641025641025644,0.0717948717948718,0.9076923076923078
31,5985,"POLYGON ((78000 456000, 78000 457000, 77000 457000, 77000 456000, 78000 456000))",0.08205128205128205,0.08717948717948719,0.2717948717948718,0.22051282051282053,0.1641025641025641,0.13333333333333333,0.9589743589743589
32,100,"POLYGON ((78000 457000, 78000 458000, 77000 458000, 77000 457000, 78000 457000))",0.0,0.010256410256410256,0.010256410256410256,0.010256410256410256,0.005128205128205128,0.0,0.0358974358974359
33,2245,"POLYGON ((79000 449000, 79000 450000, 78000 450000, 78000 449000, 79000 449000))",0.005128205128205128,0.005128205128205128,0.0,0.005128205128205128,0.010256410256410256,0.005128205128205128,0.030769230769230767
34,8260,"POLYGON ((79000 450000, 79000 451000, 78000 451000, 78000 450000, 79000 450000))",0.12307692307692308,0.11794871794871796,0.5076923076923078,0.47692307692307695,0.2820512820512821,0.23076923076923075,1.7384615384615387
35,9375,"POLYGON ((79000 451000, 79000 452000, 78000 452000, 78000 451000, 79000 451000))",0.13846153846153847,0.158974358974359,0.29743589743589743,0.5076923076923077,0.34358974358974365,0.24615384615384617,1.6923076923076925
36,11210,"POLYGON ((79000 452000, 79000 453000, 78000 453000, 78000 452000, 79000 452000))",0.1641025641025641,0.19487179487179487,0.38461538461538464,0.49743589743589745,0.49743589743589745,0.3076923076923077,2.046153846153846
37,13525,"POLYGON ((79000 453000, 79000 454000, 78000 454000, 78000 453000, 79000 453000))",0.20512820512820515,0.24102564102564106,0.5589743589743589,0.7128205128205128,0.517948717948718,0.39999999999999997,2.635897435897436
38,16380,"POLYGON ((79000 454000, 79000 455000, 78000 455000, 78000 454000, 79000 454000))",0.22051282051282053,0.18461538461538463,0.5538461538461538,0.558974358974359,0.5384615384615384,0.34871794871794876,2.405128205128205
39,8375,"POLYGON ((79000 455000, 79000 456000, 78000 456000, 78000 455000, 79000 455000))",0.0717948717948718,0.1076923076923077,0.6153846153846154,0.7589743589743589,0.38974358974358975,0.23076923076923075,2.174358974358974
40,9845,"POLYGON ((79000 456000, 79000 457000, 78000 457000, 78000 456000, 79000 456000))",0.12307692307692308,0.08205128205128205,0.17435897435897438,0.3282051282051282,0.21025641025641026,0.17435897435897438,1.0923076923076922
